"Alcohol","Alcohol_12months","Alcohol_ever","Marijuana","Marijuana_30days","Marijuana_12months","Marijuana_ever","Heroin","Heroin_30days","Heroin_12months","Heroin_ever","Cocaine","Cocaine_30days","Cocaine_12months","Cocaine_ever","Highest_Year_Education_Before_Prison","Race","Age","Sex","State","Crime_type","time_of_use","drug_type","val_num_drugs","num_drugs","Age_group","used_any_ever","used_any_12months"
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,"High School Graduate","White",51,"Male","GA","Violent","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","45-55",1,0
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","White",29,"Male","SC","Property","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,1
2,0,1,2,2,2,1,0,0,0,2,2,1,1,1,"Some College","White",43,"Female","IN","Drug","Past 30 days","Cocaine",1,"Cocaine","35-44",1,1
1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,"Less Than High School","White",45,"Male","CA","Property","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,1
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,"Some College","Black",31,"Female","OH","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,"Some College","White",42,"Male","GA","Property","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","35-44",1,0
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",20,"Male","OH","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","18-24",1,1
2,1,1,0,1,1,1,0,2,2,1,0,1,1,1,"Less Than High School","Black",28,"Male","CA","Violent","Past 30 days","Marijuana,Cocaine",2,"More than one drug","25-34",1,1
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,"High School Graduate","Hispanic",24,"Female","NM","Property","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","18-24",1,0
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,"College Degree or More","Black",39,"Female","NC","Property","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,"Less Than High School","Hispanic",29,"Female","TX","Drug","Past 30 days","Cocaine",1,"Cocaine","25-34",1,1
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Some College","White",36,"Male","FL","Violent","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
2,0,1,2,1,2,1,1,1,2,1,1,1,2,1,"Some College","White",28,"Male","FL","Property","At the time of Arrest","Heroin,Cocaine",2,"More than one drug","25-34",1,0
2,2,1,2,1,0,1,2,2,0,1,2,2,0,1,"Less Than High School","Hispanic",32,"Male","WA","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,"Less Than High School","White",53,"Male","AK","Public order","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,1
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,"Some College","Hispanic",51,"Female","OK","Violent","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,1
